Datum_Zeit (UTC +2h),Radiation (W/m2),Precipitation (mm),Wind_mean (m/s),Wind direction (°),Temperature (°C)
05.08.2018 22:10,0,0,1.8,24,26.1
05.08.2018 22:20,0,0,1.4,31,26.3
05.08.2018 22:30,0,0,1.8,28,26.6
05.08.2018 22:40,0,0,1,47,26.6
05.08.2018 22:50,0,0,0.8,35,26.5
05.08.2018 23:00,0,0,0.8,18,25.4
05.08.2018 23:10,0,0,0.9,8,25
05.08.2018 23:20,0,0,1.3,20,24.1
05.08.2018 23:30,0,0,1.2,28,24.2
05.08.2018 23:40,0,0,1.3,16,23.4
05.08.2018 23:50,0,0,1.4,22,23.7
06.08.2018 00:00,0,0,0.9,24,23.4
06.08.2018 00:10,0,0,1.1,9,22.7
06.08.2018 00:20,0,0,0.7,358,22.2
06.08.2018 00:30,0,0,1.2,6,22.2
06.08.2018 00:40,0,0,1,32,22.1
06.08.2018 00:50,0,0,0.6,127,22.2
06.08.2018 01:00,0,0,0.1,78,21.9
06.08.2018 01:10,0,0,0.1,47,20.6
06.08.2018 01:20,0,0,0.5,143,21.9
06.08.2018 01:30,0,0,0.1,150,21.8
06.08.2018 01:40,0,0,0.7,21,20.9
06.08.2018 01:50,0,0,0.8,29,21.5
06.08.2018 02:00,0,0,0.4,165,21.1
06.08.2018 02:10,0,0,0.5,136,21.3
06.08.2018 02:20,0,0,0.8,137,21.3
06.08.2018 02:30,0,0,0.9,147,21.4
06.08.2018 02:40,0,0,0.3,142,19.6
06.08.2018 02:50,0,0,0.2,115,19.8
06.08.2018 03:00,0,0,0.2,111,20.5
06.08.2018 03:10,0,0,0.3,127,20.1
06.08.2018 03:20,0,0,0.3,6,19.1
06.08.2018 03:30,0,0,0.3,13,19.6
06.08.2018 03:40,0,0,0.3,68,19.9
06.08.2018 03:50,0,0,0.4,156,19
06.08.2018 04:00,0,0,0.7,155,19.3
06.08.2018 04:10,0,0,0.5,171,20.6
06.08.2018 04:20,0,0,0.1,165,18.4
06.08.2018 04:30,0,0,0.4,173,19.1
06.08.2018 04:40,0,0,0.4,168,19.1
06.08.2018 04:50,0,0,0.7,134,19.2
06.08.2018 05:00,0,0,0.5,160,20.3
06.08.2018 05:10,0,0,0.7,181,19.9
06.08.2018 05:20,0,0,0.5,198,18.5
06.08.2018 05:30,0,0,1.2,249,18.6
06.08.2018 05:40,0,0,0.8,252,18.8
06.08.2018 05:50,0,0,0.3,144,19.5
06.08.2018 06:00,0,0,0.4,113,18.8
06.08.2018 06:10,1,0,0.7,180,19.3
06.08.2018 06:20,2,0,0.8,157,19.4
06.08.2018 06:30,7,0,1,157,19
06.08.2018 06:40,14,0,1.3,158,19.1
06.08.2018 06:50,26,0,1.9,161,19.4
06.08.2018 07:00,36,0,1.2,165,19.3
06.08.2018 07:10,67,0,1.5,160,19.6
06.08.2018 07:20,90,0,1.3,165,19.8
06.08.2018 07:30,121,0,0.8,166,20.3
06.08.2018 07:40,148,0,1.1,173,20.9
06.08.2018 07:50,178,0,1.4,183,21.4
06.08.2018 08:00,196,0,1.3,188,21.9
06.08.2018 08:10,238,0,1.9,182,22.4
06.08.2018 08:20,279,0,1.7,184,22.7
06.08.2018 08:30,304,0,1.6,170,23.1
06.08.2018 08:40,322,0,1.7,153,23
06.08.2018 08:50,341,0,1.5,146,23.6
06.08.2018 09:00,372,0,1.3,125,24.2
06.08.2018 09:10,403,0,1.3,137,23.9
06.08.2018 09:20,432,0,1.2,216,24.3
06.08.2018 09:30,461,0,1.4,195,25
06.08.2018 09:40,491,0,1,195,24.8
06.08.2018 09:50,512,0,1.2,150,25.8
06.08.2018 10:00,536,0,1.1,214,25.4
06.08.2018 10:10,561,0,1,170,25.7
06.08.2018 10:20,585,0,1.3,185,26.2
06.08.2018 10:30,610,0,1.2,164,26.1
06.08.2018 10:40,635,0,1.1,274,26.4
06.08.2018 10:50,654,0,1.2,207,27
06.08.2018 11:00,676,0,1.9,223,28.1
06.08.2018 11:10,699,0,1.9,213,27.5
06.08.2018 11:20,719,0,1.7,210,28
06.08.2018 11:30,735,0,1.8,248,27.1
06.08.2018 11:40,756,0,1.6,230,29
06.08.2018 11:50,774,0,1.5,291,28.6
06.08.2018 12:00,786,0,1.2,244,29.2
06.08.2018 12:10,796,0,0.9,286,28.7
06.08.2018 12:20,807,0,1.5,129,29.8
06.08.2018 12:30,813,0,1.8,261,30.4
06.08.2018 12:40,817,0,1.8,277,30.2
06.08.2018 12:50,837,0,2.5,257,30.3
06.08.2018 13:00,851,0,1.2,157,30.2
06.08.2018 13:10,850,0,2,229,30.3
06.08.2018 13:20,849,0,1.6,271,30.8
06.08.2018 13:30,845,0,1.9,336,30.7
06.08.2018 13:40,839,0,1.2,337,30.9
06.08.2018 13:50,857,0,1.8,342,31.2
06.08.2018 14:00,810,0,2.3,356,31.5
06.08.2018 14:10,751,0,2.3,16,30.8
06.08.2018 14:20,765,0,3.2,322,31
06.08.2018 14:30,710,0,1.8,13,31.1
06.08.2018 14:40,746,0,1.7,15,31.4
06.08.2018 14:50,492,0,2,268,31.5
06.08.2018 15:00,782,0,2.6,279,32.1
06.08.2018 15:10,722,0,1.3,307,32.3
06.08.2018 15:20,764,0,2,309,32.1
06.08.2018 15:30,739,0,3,288,33
06.08.2018 15:40,623,0,3.4,251,31.9
06.08.2018 15:50,626,0,2.7,253,31.1
06.08.2018 16:00,632,0,2.3,266,31.4
06.08.2018 16:10,550,0,2.8,269,31.8
06.08.2018 16:20,540,0,2.4,291,31.8
06.08.2018 16:30,618,0,2.1,266,32.7
06.08.2018 16:40,312,0,3,250,31.5
06.08.2018 16:50,285,0,2.6,251,31.2
06.08.2018 17:00,276,0,2,222,31.1
06.08.2018 17:10,235,0,2.7,217,30.7
06.08.2018 17:20,194,0,2.6,218,30.6
06.08.2018 17:30,169,0,2.7,188,29.5
06.08.2018 17:40,142,0,4.9,159,29.1
06.08.2018 17:50,124,0,4.8,155,28.6
06.08.2018 18:00,117,0,5.5,154,28
06.08.2018 18:10,198,0,5.9,151,27.9
06.08.2018 18:20,341,0,5.5,148,27.9
06.08.2018 18:30,340,0,6.3,170,27.5
06.08.2018 18:40,314,0,6.4,175,27.5
06.08.2018 18:50,357,0,6.5,175,27.5
06.08.2018 19:00,374,0,6.2,170,27.4
06.08.2018 19:10,311,0,5.3,164,27.1
06.08.2018 19:20,192,0,5.9,159,26.9
06.08.2018 19:30,122,0,5.1,165,26.6
06.08.2018 19:40,146,0,5.3,174,26.4
06.08.2018 19:50,103,0,4.5,149,26.1
06.08.2018 20:00,74,0,5.7,130,25.7
06.08.2018 20:10,61,0,4.8,134,25.5
06.08.2018 20:20,46,0,5,155,25.7
06.08.2018 20:30,36,0,4.3,145,25.2
06.08.2018 20:40,26,0,4.1,150,25.1
06.08.2018 20:50,19,0,3.7,155,24.8
06.08.2018 21:00,8,0,3.6,155,24.7
06.08.2018 21:10,3,0,3.2,145,24.8
06.08.2018 21:20,0,0,1.9,141,24.6
06.08.2018 21:30,0,0,1.7,164,24.6
06.08.2018 21:40,0,0,1.2,200,24.3
06.08.2018 21:50,0,0,2.3,181,24.6
06.08.2018 22:00,0,0,2.4,203,24.4
06.08.2018 22:10,0,0,2.1,205,24.3
06.08.2018 22:20,0,0,2.6,244,24.7
06.08.2018 22:30,0,0,5.1,259,24.5
06.08.2018 22:40,0,0,4.8,257,24.3
06.08.2018 22:50,0,0,4.6,240,23.9
06.08.2018 23:00,0,0,4.8,243,23.9
06.08.2018 23:10,0,0,3.8,264,23.5
06.08.2018 23:20,0,0,3.8,274,22.9
06.08.2018 23:30,0,0,3,245,22.6
06.08.2018 23:40,0,0,2.3,211,22.3
06.08.2018 23:50,0,0,1.6,187,22
07.08.2018 00:00,0,0,1.7,195,21.6
07.08.2018 00:10,0,0,2.1,220,21.3
07.08.2018 00:20,0,0,2.7,222,21.3
07.08.2018 00:30,0,0,2.7,230,21.1
07.08.2018 00:40,0,0,2.4,227,21
07.08.2018 00:50,0,0,1.9,226,20.9
07.08.2018 01:00,0,0,1.3,237,20.8
07.08.2018 01:10,0,0,1.3,256,20.7
07.08.2018 01:20,0,0,1.3,221,20.7
07.08.2018 01:30,0,0,1.3,223,20.5
07.08.2018 01:40,0,0,1.4,232,20.5
07.08.2018 01:50,0,0,1,214,20.4
07.08.2018 02:00,0,0,0.9,213,20.4
07.08.2018 02:10,0,0,0.8,195,20
07.08.2018 02:20,0,0,1.1,169,20
07.08.2018 02:30,0,0,1.5,154,20
07.08.2018 02:40,0,0,1.2,156,20
07.08.2018 02:50,0,0,0.8,227,19.9
07.08.2018 03:00,0,0,0.8,240,19.8
07.08.2018 03:10,0,0,0.8,196,19.7
07.08.2018 03:20,0,0,1,159,19.5
07.08.2018 03:30,0,0,1.1,160,19.5
07.08.2018 03:40,0,0,1,164,19.3
07.08.2018 03:50,0,0,0.6,171,19.1
07.08.2018 04:00,0,0,0.6,194,19.3
07.08.2018 04:10,0,0,0.8,237,19.2
07.08.2018 04:20,0,0,1.2,180,19.2
07.08.2018 04:30,0,0,1.5,166,19.3
07.08.2018 04:40,0,0,1.2,190,19.3
07.08.2018 04:50,0,0,1.1,196,19.4
07.08.2018 05:00,0,0,0.8,219,18.8
07.08.2018 05:10,0,0,0.4,213,18.9
07.08.2018 05:20,0,0,1.2,175,19
07.08.2018 05:30,0,0,1.1,192,18.6
07.08.2018 05:40,0,0,0.2,124,18.6
07.08.2018 05:50,0,0,0.7,156,18.2
07.08.2018 06:00,0,0,0.6,220,17.8
07.08.2018 06:10,1,0,1,151,18.6
07.08.2018 06:20,2,0,1.1,162,19
07.08.2018 06:30,6,0,0.9,194,19.1
07.08.2018 06:40,18,0,0.7,179,19.3
07.08.2018 06:50,20,0,1.3,192,19.3
07.08.2018 07:00,16,0,0.9,183,19.5
07.08.2018 07:10,10,0,1.3,186,19.5
07.08.2018 07:20,5,0.2,1.3,158,18.7
07.08.2018 07:30,5,0.8,0.9,169,18.4
07.08.2018 07:40,8,0.5,0.5,180,18.3
07.08.2018 07:50,10,0,0.6,143,18.2
07.08.2018 08:00,12,0,0.8,117,18
07.08.2018 08:10,14,0.1,0.7,108,18.2
07.08.2018 08:20,17,0.1,0.3,70,18.3
07.08.2018 08:30,24,0.1,0.8,166,18.4
07.08.2018 08:40,38,0,0.8,110,18.4
07.08.2018 08:50,65,0.1,0.6,113,18.5
07.08.2018 09:00,101,0.1,0.3,81,18.8
07.08.2018 09:10,139,0,0.4,358,19.1
07.08.2018 09:20,171,0,0.6,190,19.4
07.08.2018 09:30,201,0,0.4,198,19.3
07.08.2018 09:40,240,0,0.8,149,19.9
07.08.2018 09:50,257,0,1.2,145,20
07.08.2018 10:00,273,0,0.8,139,20.2
07.08.2018 10:10,281,0,1.1,176,20.6
07.08.2018 10:20,249,0,1.1,178,20.5
07.08.2018 10:30,223,0,1,181,20.8
07.08.2018 10:40,201,0,0.7,181,20.9
07.08.2018 10:50,185,0,0.6,183,20.8
07.08.2018 11:00,190,0,0.5,130,21
07.08.2018 11:10,216,0,0.4,146,21.3
07.08.2018 11:20,246,0,0.4,212,21.4
07.08.2018 11:30,296,0,0.4,255,21.9
07.08.2018 11:40,361,0,0.3,219,22.1
07.08.2018 11:50,422,0,0.3,293,22.2
07.08.2018 12:00,498,0,0.6,169,22.7
07.08.2018 12:10,513,0,0.4,103,22.8
07.08.2018 12:20,449,0,0.5,232,23.2
07.08.2018 12:30,585,0,0.7,127,23.6
07.08.2018 12:40,982,0,1.2,77,24.5
07.08.2018 12:50,820,0,1.7,51,24.7
07.08.2018 13:00,741,0,1.8,60,25.6
07.08.2018 13:10,884,0,2.1,60,25.4
07.08.2018 13:20,901,0,2.4,57,26.1
07.08.2018 13:30,908,0,1.9,54,26.9
07.08.2018 13:40,936,0,1.4,59,27.2
07.08.2018 13:50,913,0,0.9,110,27.8
07.08.2018 14:00,839,0,0.9,234,28.8
07.08.2018 14:10,724,0,1.3,236,28.6
07.08.2018 14:20,850,0,1.8,238,29
07.08.2018 14:30,866,0,1.4,265,28.6
07.08.2018 14:40,859,0,1.2,170,30
07.08.2018 14:50,864,0,2.1,281,29.2
07.08.2018 15:00,861,0,2,244,30.6
07.08.2018 15:10,848,0,2.8,295,29.8
07.08.2018 15:20,792,0,3.1,274,30.3
07.08.2018 15:30,787,0,2.7,270,30.5
07.08.2018 15:40,761,0,2.3,315,30.3
07.08.2018 15:50,739,0,2.8,295,30.5
07.08.2018 16:00,716,0,2.3,282,30.6
07.08.2018 16:10,694,0,2.2,305,30.6
07.08.2018 16:20,673,0,2.2,294,31.2
07.08.2018 16:30,655,0,2.6,298,31.3
07.08.2018 16:40,635,0,1.9,306,31.4
07.08.2018 16:50,619,0,2.1,270,31.5
07.08.2018 17:00,605,0,1.3,320,30.4
07.08.2018 17:10,579,0,1.4,103,31.1
07.08.2018 17:20,553,0,2.5,307,30.9
07.08.2018 17:30,531,0,1.6,290,30.7
07.08.2018 17:40,520,0,1.3,101,31.7
07.08.2018 17:50,432,0,1.8,313,31.1
07.08.2018 18:00,235,0,1.5,342,30.1
07.08.2018 18:10,263,0,0.9,8,30.2
07.08.2018 18:20,403,0,0.7,234,30.9
07.08.2018 18:30,365,0,0.7,138,30.9
07.08.2018 18:40,338,0,0.9,330,31.2
07.08.2018 18:50,308,0,1.3,298,30.9
07.08.2018 19:00,280,0,0.9,304,31.2
07.08.2018 19:10,251,0,0.9,189,31.1
07.08.2018 19:20,221,0,1.2,143,30.9
07.08.2018 19:30,188,0,0.4,210,30.8
07.08.2018 19:40,78,0,1,242,29.2
07.08.2018 19:50,46,0,0.4,251,28.1
07.08.2018 20:00,35,0,2.2,153,28.6
07.08.2018 20:10,31,0,5,159,28.1
07.08.2018 20:20,32,0,4.5,156,27.4
07.08.2018 20:30,32,0,4.2,149,26.6
07.08.2018 20:40,20,0,4.1,136,26.5
07.08.2018 20:50,10,0,3.1,136,26
07.08.2018 21:00,2,0,3.6,142,25.9
07.08.2018 21:10,0,0,4.3,121,25.8
07.08.2018 21:20,0,0,4.6,127,25.6
07.08.2018 21:30,0,0,4.7,128,25.1
07.08.2018 21:40,0,0,5,128,25
07.08.2018 21:50,0,0,4.8,133,25
07.08.2018 22:00,0,0,5.6,141,25.1
07.08.2018 22:10,0,0,4.7,143,24.9
07.08.2018 22:20,0,0,5.1,149,25.1
07.08.2018 22:30,0,0,5.5,153,25
07.08.2018 22:40,0,0,6.1,154,24.9
07.08.2018 22:50,0,0,5.2,141,24.6
07.08.2018 23:00,0,0,3.8,147,24.4
07.08.2018 23:10,0,0,3.3,150,24
07.08.2018 23:20,0,0,2.7,151,24.1
07.08.2018 23:30,0,0,4.1,161,24.3
07.08.2018 23:40,0,0,3.7,175,24.2
07.08.2018 23:50,0,0,3.4,171,23.9
08.08.2018 00:00,0,0,4.2,163,23.9
08.08.2018 00:10,0,0,4.4,169,23.9
08.08.2018 00:20,0,0,4.9,173,23.9
08.08.2018 00:30,0,0,3.9,159,23.8
08.08.2018 00:40,0,0,3.7,146,23.5
08.08.2018 00:50,0,0,3.6,148,23.2
08.08.2018 01:00,0,0,3.5,154,23.4
08.08.2018 01:10,0,0,2.5,172,23.3
08.08.2018 01:20,0,0,2.7,196,23.1
08.08.2018 01:30,0,0,3.2,186,22.6
08.08.2018 01:40,0,0,4.2,156,22.1
08.08.2018 01:50,0,0,4.4,159,21.4
08.08.2018 02:00,0,0,4.3,153,21.5
08.08.2018 02:10,0,0,3.4,165,21.6
08.08.2018 02:20,0,0,2.5,185,21.4
08.08.2018 02:30,0,0,2.9,184,21.8
08.08.2018 02:40,0,0,3.1,176,22
08.08.2018 02:50,0,0,2.3,184,21.9
08.08.2018 03:00,0,0,2.9,184,21.7
08.08.2018 03:10,0,0,2.2,205,21.5
08.08.2018 03:20,0,0,2,219,20.3
08.08.2018 03:30,0,0,1.3,227,19.5
08.08.2018 03:40,0,0,1.8,232,20
08.08.2018 03:50,0,0,1.9,209,20.1
08.08.2018 04:00,0,0,2.2,203,20.4
08.08.2018 04:10,0,0,2.5,180,20.8
08.08.2018 04:20,0,0,1.5,221,19.1
08.08.2018 04:30,0,0,2.1,173,20.2
08.08.2018 04:40,0,0,2,168,20.4
08.08.2018 04:50,0,0,3,167,20.7
08.08.2018 05:00,0,0,2.7,176,20.7
08.08.2018 05:10,0,0,2.8,186,20.8
08.08.2018 05:20,0,0,3,170,21.1
08.08.2018 05:30,0,0,2.1,165,20.6
08.08.2018 05:40,0,0,1.5,202,20.9
08.08.2018 05:50,0,0,1.4,215,20.6
08.08.2018 06:00,0,0,1.4,188,20.5
08.08.2018 06:10,0,0,0.9,233,19.7
08.08.2018 06:20,1,0,0.9,334,19.5
08.08.2018 06:30,1,0,0.6,40,19.7
08.08.2018 06:40,2,0,1,175,19.8
08.08.2018 06:50,4,0,1.3,147,20.1
08.08.2018 07:00,6,0,1,167,20.2
08.08.2018 07:10,9,0,0.5,113,19.6
08.08.2018 07:20,12,0,1.3,219,19.4
08.08.2018 07:30,17,0,1.2,143,19.6
08.08.2018 07:40,27,0,0.9,187,20
08.08.2018 07:50,34,0,0.8,222,20.2
08.08.2018 08:00,47,0,1.5,158,20.3
08.08.2018 08:10,61,0,1,169,20.6
08.08.2018 08:20,84,0,1.2,119,20.8
08.08.2018 08:30,110,0,0.5,20,20.7
08.08.2018 08:40,147,0,0.5,31,20.9
08.08.2018 08:50,235,0,0.7,13,21.6
08.08.2018 09:00,241,0,1,112,21.9
08.08.2018 09:10,380,0,1,134,23.1
08.08.2018 09:20,411,0,1.3,44,22.6
08.08.2018 09:30,442,0,0.7,348,23
08.08.2018 09:40,488,0,0.9,15,23.7
08.08.2018 09:50,294,0,0.7,101,23.2
08.08.2018 10:00,496,0,1,150,24.1
08.08.2018 10:10,561,0,1,137,24.5
08.08.2018 10:20,583,0,1,12,24.9
08.08.2018 10:30,604,0,1.1,343,24.7
08.08.2018 10:40,619,0,1,324,25
08.08.2018 10:50,427,0,1.4,306,24.6
08.08.2018 11:00,378,0,1.5,309,25
08.08.2018 11:10,343,0,1.1,244,25.1
08.08.2018 11:20,389,0,1.4,232,25.3
08.08.2018 11:30,379,0,1.6,257,25.3
08.08.2018 11:40,569,0,1.7,263,26.5
08.08.2018 11:50,853,0,2,298,26.7
08.08.2018 12:00,844,0,2.4,279,27.4
08.08.2018 12:10,831,0,2.2,276,28.1
08.08.2018 12:20,922,0,2.3,246,27.8
08.08.2018 12:30,501,0,2.7,246,27.2
08.08.2018 12:40,929,0,2.8,264,27.6
08.08.2018 12:50,1009,0,3.2,276,28.5
08.08.2018 13:00,845,0,3.1,276,28
08.08.2018 13:10,1035,0,2.7,288,27.8
08.08.2018 13:20,938,0,2.5,302,27.9
08.08.2018 13:30,902,0,2.6,305,27.5
08.08.2018 13:40,902,0,2.6,318,29
08.08.2018 13:50,901,0,1.9,276,28.2
08.08.2018 14:00,886,0,2.2,293,29.8
08.08.2018 14:10,615,0,2.6,284,27.3
08.08.2018 14:20,166,0,1.9,245,27.2
08.08.2018 14:30,128,0,1.5,256,27
08.08.2018 14:40,167,0,1.8,213,26.9
08.08.2018 14:50,203,0,2.1,228,26.9
08.08.2018 15:00,567,0,2,249,28.5
08.08.2018 15:10,934,0,2.6,235,29.3
08.08.2018 15:20,871,0,2.8,233,29.1
08.08.2018 15:30,778,0,3.1,262,29.1
08.08.2018 15:40,587,0,3,258,29.8
08.08.2018 15:50,790,0,2.2,270,30
08.08.2018 16:00,706,0,2.5,233,29.3
08.08.2018 16:10,584,0,1.5,220,30
08.08.2018 16:20,674,0,2.1,207,29.5
08.08.2018 16:30,362,0,2.3,232,29.3
08.08.2018 16:40,216,0,2.1,208,28.5
08.08.2018 16:50,225,0,2.6,230,28.2
08.08.2018 17:00,459,0,1.9,199,28.6
08.08.2018 17:10,548,0,3.3,151,28
08.08.2018 17:20,355,0,5.2,154,27.2
08.08.2018 17:30,114,0,4.6,165,26
08.08.2018 17:40,84,0,4.7,155,25.5
08.08.2018 17:50,51,0,5.8,156,24.5
08.08.2018 18:00,37,0,5.5,151,23.6
08.08.2018 18:10,30,0,4.9,144,23.3
08.08.2018 18:20,30,0.1,4.3,149,22.7
08.08.2018 18:30,37,0,4.1,141,22.9
08.08.2018 18:40,39,0,3.6,146,22.9
08.08.2018 18:50,32,0,4.3,161,22.6
08.08.2018 19:00,28,0,3.8,167,22.4
08.08.2018 19:10,27,0,4.1,167,22
08.08.2018 19:20,23,0,4.1,167,21.8
08.08.2018 19:30,30,0,4.8,161,21.7
08.08.2018 19:40,42,0,5.5,149,21.2
08.08.2018 19:50,54,0,5.4,143,21
08.08.2018 20:00,32,0,6.2,133,21.2
08.08.2018 20:10,16,0,4.9,139,21.3
08.08.2018 20:20,9,0,4.2,137,21.5
08.08.2018 20:30,4,0,2.3,52,22.4
08.08.2018 20:40,3,0,2.7,146,20.7
08.08.2018 20:50,2,0,3.2,111,21.5
08.08.2018 21:00,1,0,2.3,108,21.4
08.08.2018 21:10,0,0,2.5,169,20.7
08.08.2018 21:20,0,0,1.3,137,20.3
08.08.2018 21:30,0,0,1,142,20.1
08.08.2018 21:40,0,0,1.3,134,20.2
08.08.2018 21:50,0,0,0.5,142,20
08.08.2018 22:00,0,0,0.7,202,20
08.08.2018 22:10,0,0,1.7,175,20.4
08.08.2018 22:20,0,0,1.7,172,20.3
08.08.2018 22:30,0,0,1.6,188,20.1
08.08.2018 22:40,0,0,1.7,158,19.7
08.08.2018 22:50,0,0,2.4,131,19.8
08.08.2018 23:00,0,0,1.8,122,19.5
08.08.2018 23:10,0,0,1.6,118,19.2
08.08.2018 23:20,0,0,0.7,124,19.3
08.08.2018 23:30,0,0,1.1,146,19.1
08.08.2018 23:40,0,0,1,127,18.6
08.08.2018 23:50,0,0,0.6,150,18.5
09.08.2018 00:00,0,0,1.1,177,18.6
09.08.2018 00:10,0,0,1.5,196,18.9
09.08.2018 00:20,0,0,1.9,152,18.6
09.08.2018 00:30,0,0,1.9,131,18.8
09.08.2018 00:40,0,0,1.9,139,18.9
09.08.2018 00:50,0,0,1.9,144,18.8
09.08.2018 01:00,0,0,2.2,173,18.9
09.08.2018 01:10,0,0,2.2,156,18.5
09.08.2018 01:20,0,0,2.6,166,18.4
09.08.2018 01:30,0,0,2.2,159,18.1
09.08.2018 01:40,0,0,2.4,170,18.4
09.08.2018 01:50,0,0,2.1,172,18.7
09.08.2018 02:00,0,0,1.9,160,18.5
09.08.2018 02:10,0,0,2.5,165,18.7
09.08.2018 02:20,0,0,2.4,168,18.7
09.08.2018 02:30,0,0,1.8,186,18.6
09.08.2018 02:40,0,0,1.6,170,18.5
09.08.2018 02:50,0,0,1.1,188,18.6
09.08.2018 03:00,0,0,1.7,170,18.5
09.08.2018 03:10,0,0,2.4,182,18.4
09.08.2018 03:20,0,0,2.3,175,18.5
09.08.2018 03:30,0,0,3,180,18.4
09.08.2018 03:40,0,0,2.8,176,18.5
09.08.2018 03:50,0,0,2.9,167,18.6
09.08.2018 04:00,0,0,3,162,18.6
09.08.2018 04:10,0,0,2.5,158,18.5
09.08.2018 04:20,0,0,3.1,164,18.6
09.08.2018 04:30,0,0,2.6,162,18.5
09.08.2018 04:40,0,0,2.8,157,18.4
09.08.2018 04:50,0,0,2.4,158,18.1
09.08.2018 05:00,0,0,2,155,17.8
09.08.2018 05:10,0,0,1.9,156,17.7
09.08.2018 05:20,0,0,1.1,159,17.8
09.08.2018 05:30,0,0,1.4,183,17.8
09.08.2018 05:40,0,0,1.8,166,17.4
09.08.2018 05:50,0,0,1.4,154,17.1
